hole num, 	 FEM Time, 	 DON Time, 	 Time Record
1 	 0.08170318603515625 	 3.269591808319092 	 3.139591932296753
2 	 2.0605859756469727 	 4.325755834579468 	 3.6310205459594727
3 	 17.292207956314087 	 10.412807941436768 	 8.198615074157715
4 	 56.79201579093933 	 18.670166969299316 	 13.877190113067627
5 	 134.60088634490967 	 30.764580249786377 	 22.36761212348938
6 	 271.997230052948 	 112.83820366859436 	 81.85840487480164
7 	 433.58554458618164 	 62.65698862075806 	 40.95425724983215
8 	 676.0193417072296 	 87.24256467819214 	 55.157328367233276
9 	 960.3090651035309 	 123.57932591438293 	 74.50780177116394
10 	 2149.000422000885 	 157.38542580604553 	 87.5981092453003
